codes_SdC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
GCF53824,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
GCF53709,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
PYF10540,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
GCF52110,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
GCF57161,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
GCF53203,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
GCF57779,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
GCF55842,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
VIF26458,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
VIF38210,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
VIF25218,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
